split,video,component,frames,median,q95,q995,max
test_abnormal,08,combined_score,194,0.4686312138400891,0.5145851366318586,0.6682636103524079,0.7466366304192009
test_abnormal,09,appearance_score,152,0.4570668372252584,0.5327130539071352,0.5815383360505395,0.5842650747896776
test_abnormal,09,temporal_score,152,1.1177391117089592,1.9422460429985104,2.2645721783540234,2.3586531959545685
test_abnormal,09,combined_score,152,0.7937227467038901,1.2055507076089083,1.3480006658855381,1.412049217023274
test_abnormal,10,appearance_score,312,0.4666141673419479,0.5945387009490752,0.649612690826374,0.6548369404274174
test_abnormal,10,temporal_score,312,1.1229312208480624,2.173294899688592,3.0797852342845795,3.220543313045661
test_abnormal,10,combined_score,312,0.7872953402502758,1.3397328937507862,1.8407104602071773,1.906938849438224
test_abnormal,11,appearance_score,240,0.5234277344556268,0.6006461653604744,0.6383705388034501,0.6573785509198917
test_abnormal,11,temporal_score,240,0.5621834338249421,0.6660256166070014,0.7574586585466048,0.7698677993890608
test_abnormal,11,combined_score,240,0.5428055841402846,0.6136146843457556,0.6890899843022334,0.6998271921295677
test_abnormal,15,appearance_score,400,0.4612907944309251,0.5277274147904403,0.5677409518850347,0.5850464057791873
test_abnormal,15,temporal_score,400,0.2506568854787642,0.5621834338249421,0.7862769340661621,0.9516576766258463
test_abnormal,15,combined_score,400,0.3595285235401021,0.5164209264354678,0.612014594710025,0.7025214938206199
