scene,video,frame,layer,bf16_fp32_max_abs,bf16_fp32_mean_abs,bf16_fp32_cosine_mean,compile_fp32_max_abs,compile_fp32_mean_abs,compile_fp32_cosine_mean,compile_bf16_max_abs,compile_bf16_mean_abs,compile_bf16_cosine_mean
R02,01,0,4,0.007316729053854942,0.0004716166004072875,0.0001635230437386781,0.00749775767326355,0.00047226963215507567,0.0001635067310417071,0.00337238609790802,0.00018319394439458847,2.4726023184484802e-05
R02,01,0,5,0.007866987958550453,0.0005090252961963415,0.0001842320925788954,0.008155514486134052,0.0005094318185001612,0.000184182747034356,0.004334744065999985,0.00023829455312807113,3.8580528780585155e-05
R02,01,0,6,0.008434802293777466,0.0005019298405386508,0.00017419044161215425,0.007863037288188934,0.0005041594849899411,0.00017539391410537064,0.004892021417617798,0.00026739531313069165,4.814147905563004e-05
R02,01,0,7,0.01448860764503479,0.0004969224683009088,0.0001694061211310327,0.012543797492980957,0.0004973282921127975,0.0001691381767159328,0.005067989230155945,0.00028973029111512005,5.558765769819729e-05
R02,01,0,8,0.011699751019477844,0.0005138955311849713,0.00018888547492679209,0.013785814866423607,0.0005248645902611315,0.00020533597853500396,0.008011206984519958,0.0003211389994248748,6.917036807863042e-05
R02,01,0,9,0.03773724287748337,0.0005562680307775736,0.00022278841061051935,0.028452150523662567,0.0005650523235090077,0.00022625684505328536,0.0092850923538208,0.0003532388072926551,8.313747821375728e-05
R02,01,0,10,0.010100983083248138,0.0005546575412154198,0.00021313979232218117,0.01430850476026535,0.0005636234418489039,0.00021990977984387428,0.008368201553821564,0.0003646925906650722,8.870473538991064e-05
R02,01,0,11,0.012845054268836975,0.0005894972127862275,0.00025956923491321504,0.013780012726783752,0.0005928159225732088,0.00026031199377030134,0.008235812187194824,0.000394267903175205,0.0001069945574272424
R02,01,0,12,0.014864206314086914,0.00048721709754318,0.00016766070621088147,0.02501744031906128,0.0004902565269730985,0.0001685135212028399,0.02597421407699585,0.00033415338839404285,7.71485865698196e-05
R02,01,0,13,0.015315532684326172,0.000533261161763221,0.0001941308582900092,0.012750416994094849,0.0005340951029211283,0.00019279589469078928,0.012783482670783997,0.00036720160278491676,8.910362521419302e-05
R03,01,0,0,0.0027919411659240723,0.00011167416232638061,9.299791599914897e-06,0.0027919411659240723,0.00011167411139467731,9.298324584960938e-06,1.2465985491871834e-05,8.677254470512707e-10,1.833989138333436e-08
R03,01,0,1,0.009975641965866089,0.00022240463295020163,4.205538789392449e-05,0.009975671768188477,0.00022240245016291738,4.205813820590265e-05,0.0005338964983820915,9.292540426031337e-08,1.85232895688614e-08
