split,video,component,frames,median,q95,q995,max
test_normal,06,temporal_score,284,0.0294599789068938,0.1805328181083856,0.36413659053621117,0.37740181075502033
test_normal,06,combined_score,284,0.29123731178509205,0.4549969818617009,0.820058038833839,1.321909983247584
test_normal,07,appearance_score,387,0.5539067384103578,0.7415164936367737,0.8382919725363711,0.8514335742150133
test_normal,07,temporal_score,387,0.03405589464459553,0.2723342471161479,0.5901682190637683,0.662173655443682
test_normal,07,combined_score,387,0.3018851185527607,0.4598851953503794,0.6276105277751751,0.6651135097629026
test_normal,08,appearance_score,555,0.5279002263466536,0.6670004683739769,1.3306544906362965,1.9032162407025528
test_normal,08,temporal_score,555,0.022001555097267252,0.25285607239839564,0.3853234440305638,0.4242753804327906
test_normal,08,combined_score,555,0.2821368561275282,0.41229217433703436,0.7139845288465684,0.970476819392048
test_normal,09,appearance_score,666,0.5070244401118762,0.6339203113427125,1.3914970376623013,2.0292934161599474
test_normal,09,temporal_score,666,0.02577251191146271,0.26646173229248094,0.5025542417946659,0.574270803401655
test_normal,09,combined_score,666,0.27224521288300024,0.4244587510381306,0.8108750973223263,1.1051775015602538
test_normal,10,appearance_score,265,0.500967084382378,0.6824761560368335,0.7220705064667216,0.7255920035379821
test_normal,10,temporal_score,265,0.017831039864698667,0.11225484432279682,0.18394413258898915,0.2438419549657912
test_normal,10,combined_score,265,0.2617836769715897,0.3649526927297507,0.38962471368604695,0.40048543314625995
test_normal,11,appearance_score,315,0.5372979582808911,1.0886695167844798,1.779706308680502,2.049783137441142
test_normal,11,temporal_score,315,0.008448374517834062,0.12454454564492794,0.21268808690733604,0.22740638778615577
test_normal,11,combined_score,315,0.28551735674223794,0.5443347583922399,0.8970134018413913,1.044720905440247
test_normal,15,appearance_score,380,0.5894108060567336,0.8954782473052627,1.4824723327016767,1.977861509373007
test_normal,15,temporal_score,380,0.020003763005402922,0.20889132776343666,0.25553052959281786,0.25553052959281786
test_normal,15,combined_score,380,0.3135230593930843,0.5068752883437418,0.7835164196850515,0.9942403095893586
test_abnormal,03,appearance_score,269,0.7986974531124786,0.9714026402325013,1.34430691308355,1.7125071230934463
test_abnormal,03,temporal_score,269,0.25553052959281797,2.902012273599722,5.0583198051665885,5.385872548617179
test_abnormal,03,combined_score,269,0.6027976480027366,1.8280837108934513,2.9266498227577884,3.0959395270561605
test_abnormal,04,appearance_score,269,0.8519811394611045,1.2265987105384295,1.6471333540033388,1.9065132273881857
test_abnormal,04,temporal_score,269,0.18406324473042637,0.6654655397263955,0.9867582165660329,0.993819069810114
test_abnormal,04,combined_score,269,0.5246326859656939,0.9347534493795423,1.1212604421571166,1.1521750826061128
test_abnormal,05,appearance_score,280,1.211456243280513,1.56054539496834,2.595514470460905,2.676848344211159
test_abnormal,05,temporal_score,280,0.1349175592705657,0.6686743317609111,1.3374707176854448,1.4625547665878156
test_abnormal,05,combined_score,280,0.6734759402841866,1.2668000213579151,1.4564444158538565,1.4990009356764276
test_abnormal,06,appearance_score,285,1.1653870590191842,1.9753272407386537,2.5182424379265083,2.558994885768048
test_abnormal,06,temporal_score,285,0.19459488901171665,0.8262430764328441,2.338192964253341,2.545334226144307
test_abnormal,06,combined_score,285,0.6688517922994544,1.3852582191268914,1.9040531880598808,1.992190462490401
test_abnormal,07,appearance_score,114,0.7416538660261203,2.088548770876458,2.549426410679422,2.7844555851275024
test_abnormal,07,temporal_score,114,0.25553052959281786,1.8673658872726473,2.983922604142873,3.1171917762131023
test_abnormal,07,combined_score,114,0.5147257653576718,1.4371605142314285,2.1487478085498877,2.31099945456874
test_abnormal,08,appearance_score,194,0.546814756976514,0.5977810821964992,0.6118460307279486,0.617956144658788
test_abnormal,08,temporal_score,194,0.25553052959281786,0.32584088410947315,0.5232020492377245,0.536771947659439
test_abnormal,08,combined_score,194,0.3867373049875038,0.4324815306827565,0.4619942196825908,0.47189851438413055
test_abnormal,09,appearance_score,152,0.5567184532604146,0.6425092188503925,0.6760842310341898,0.6988770118637971
test_abnormal,09,temporal_score,152,0.426619058916679,1.074646159711851,1.5524050186525247,1.605489336312599
test_abnormal,09,combined_score,152,0.5008245883843268,0.8196370792065661,1.0765436965939266,1.090719639270067
test_abnormal,10,appearance_score,312,0.5667536441494816,0.729632542257749,0.7618609772145862,0.769540683099394
test_abnormal,10,temporal_score,312,0.522709876756108,0.8597308427392755,1.0763570450050903,1.1461283534704514
test_abnormal,10,combined_score,312,0.5179577813737746,0.7534303344530383,0.8643891501447565,0.8968650228436592
test_abnormal,11,appearance_score,240,0.7525077218503068,0.8254838910111593,0.8743316031539016,0.8925721425191142
test_abnormal,11,temporal_score,240,0.25553052959281786,0.25553052959281786,0.25553052959281786,0.25553052959281786
test_abnormal,11,combined_score,240,0.5040191257215623,0.5405072103019887,0.5649310663733597,0.574051336055966
test_abnormal,15,appearance_score,400,0.6029799761362888,0.6664139882493072,0.6987054416256108,0.7037704984812921
test_abnormal,15,temporal_score,400,0.10084774965617632,0.25394044611592026,0.38305715265725826,0.44071094761242585
test_abnormal,15,combined_score,400,0.35510442269211717,0.43900826023854095,0.4839324540151044,0.5229892089812312
