"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.19 full waves across all SMs. Look at Launch Statistics for more details.","",""
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.36",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.05",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Issue Slots Busy","%","1.17",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.36",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Compute Workload Analysis","SM Busy","%","2.31",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","97.69"
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L2 Sector Promotion Misses","%","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Memory Throughput","Mbyte/s","181.82",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Mem Busy","%","10.43",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Max Bandwidth","%","10.39",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L1/TEX Hit Rate","%","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L2 Persisting Size","Mbyte","25.17",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L2 Compression Ratio","","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L2 Compression Input Sectors","sector","0",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","L2 Hit Rate","%","99.74",
"1","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_bf16_eviction_attempt:none:none:none:none:none:none"" ","","triton_tem_fused_addmm_t_view_0","1","7","(128, 1, 1)","(36, 1, 1)","0","12.0","Memory Workload Analysis","Mem Pipes Busy","%","3.03",
"2","1522235","python3.13","127.0.0.1","1522235  ""<default domain>:qkv_M1_packed_int4_warm:none:none:none:none:none:none"" ","","triton_poi_fused___rshift____to_copy_add_bitwise_and_mul_stack_sub_unsqueeze_view_0","1","7","(128, 1, 1)","(1728, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_read.sum","","n/a",
