layer,M,kind,regime,median_us,mean_us,min_us,max_us,rounds
qkv,16,fused_int4,eviction_attempt,18.432000651955605,18.85257200116203,18.432000651955605,26.240000501275063,21
qkv,64,bf16,warm,5.179000087082386,5.299571435898542,5.127000156790018,5.830999929457903,7
qkv,64,bf16,eviction_attempt,12.28800043463707,12.266667071907293,11.872000060975552,12.28800043463707,21
qkv,64,native_int4,warm,14.844000339508057,15.045000107160636,14.708999544382095,16.27800054848194,7
qkv,64,native_int4,eviction_attempt,20.479999482631683,20.33371380752041,18.432000651955605,20.479999482631683,21
qkv,64,packed_int4,warm,9.56599973142147,9.793714221034731,9.448999539017677,11.043000034987926,7
qkv,64,packed_int4,eviction_attempt,14.336000196635723,14.70780966892129,13.952000066637993,16.383999958634377,21
qkv,64,dequant_only,warm,3.7120000924915075,3.7952857424638102,3.67900007404387,4.296000115573406,7
qkv,64,dequant_only,eviction_attempt,6.144000217318535,6.130285871525605,5.727999843657017,6.175999995321035,21
qkv,64,predequant_gemm,warm,6.225000135600567,6.363285771970238,6.155000068247318,7.265999913215637,7
qkv,64,predequant_gemm,eviction_attempt,14.336000196635723,13.731047865890321,12.256000190973282,14.336000196635723,21
qkv,64,fused_int4,warm,14.291999861598015,14.327428569751126,14.23299964517355,14.643000438809395,7
qkv,64,fused_int4,eviction_attempt,18.432000651955605,18.802286347463017,18.432000651955605,26.208000257611275,21
qkv,325,bf16,warm,9.476999752223492,9.603285629834447,9.45299956947565,10.204000398516655,7
qkv,325,bf16,eviction_attempt,16.383999958634377,15.506285774920668,14.336000196635723,16.383999958634377,21
qkv,325,native_int4,warm,48.037998378276825,48.26528525778225,47.874998301267624,49.56600069999695,7
qkv,325,native_int4,eviction_attempt,53.247999399900436,53.52076143026352,52.83199995756149,55.296000093221664,21
qkv,325,packed_int4,warm,14.049000106751919,14.350142862115588,14.014000073075294,15.698999166488647,7
qkv,325,packed_int4,eviction_attempt,24.57600086927414,24.55466746219567,24.159999564290047,24.57600086927414,21
qkv,325,dequant_only,warm,3.725999966263771,3.702571416007621,3.473999910056591,3.834000090137124,7
qkv,325,dequant_only,eviction_attempt,8.191999979317188,7.203047651620138,5.727999843657017,8.191999979317188,21
qkv,325,predequant_gemm,warm,10.68700011819601,10.78685705683061,10.336999781429768,11.575000360608101,7
qkv,325,predequant_gemm,eviction_attempt,22.52800017595291,21.875809434623946,20.479999482631683,23.552000522613525,21
qkv,325,fused_int4,warm,28.51399965584278,28.505285669650352,28.20800058543682,28.804000467061996,7
qkv,325,fused_int4,eviction_attempt,32.76799991726875,32.862476117554166,32.735999673604965,34.78400036692619,21
proj,1,bf16,warm,4.129999782890081,4.232857110244887,4.104999825358391,4.846999887377024,7
proj,1,bf16,eviction_attempt,8.191999979317188,8.269714258079018,7.7760000713169575,10.239999741315842,21
proj,1,native_int4,warm,3.988000098615885,4.2158572136291435,3.963000141084194,5.429000128060579,7
proj,1,native_int4,eviction_attempt,10.239999741315842,9.321142741966815,6.335999816656113,10.239999741315842,21
proj,1,packed_int4,warm,6.756000220775604,7.020571468664067,6.73400005325675,8.441999554634094,7
proj,1,packed_int4,eviction_attempt,12.28800043463707,11.702857379402433,10.239999741315842,12.28800043463707,21
proj,1,dequant_only,warm,2.0550000481307507,2.14028571333204,2.03999993391335,2.6420000940561295,7
proj,1,dequant_only,eviction_attempt,6.144000217318535,5.756952511590152,4.095999989658594,6.144000217318535,21
proj,1,predequant_gemm,warm,4.9600000493228436,5.079714315278189,4.925000015646219,5.841000005602837,7
proj,1,predequant_gemm,eviction_attempt,10.239999741315842,10.122666445871195,8.191999979317188,10.239999741315842,21
proj,1,fused_int4,warm,14.379999600350857,14.40557132342032,14.283999800682068,14.666999690234661,7
proj,1,fused_int4,eviction_attempt,18.432000651955605,18.704762504923913,18.432000651955605,24.159999564290047,21
proj,16,bf16,warm,3.3539999276399612,3.488428524828383,3.3499998971819878,4.091999959200621,7
proj,16,bf16,eviction_attempt,8.191999979317188,8.271238057031518,7.807999849319458,10.239999741315842,21
proj,16,native_int4,warm,5.003000143915415,5.240285769104958,4.93700010702014,6.512000225484371,7
proj,16,native_int4,eviction_attempt,10.239999741315842,10.14247594312543,8.191999979317188,10.239999741315842,21
proj,16,packed_int4,warm,5.078999791294336,5.205142843936171,4.774000030010939,6.268000230193138,7
proj,16,packed_int4,eviction_attempt,10.239999741315842,9.7340950298877,8.191999979317188,10.239999741315842,21
proj,16,dequant_only,warm,2.088000066578388,2.1722857241651843,2.0570000633597374,2.624999964609742,7
proj,16,dequant_only,eviction_attempt,6.144000217318535,5.659428713399739,4.095999989658594,6.144000217318535,21
proj,16,predequant_gemm,warm,3.2480000518262386,3.3111428575856343,2.991999965161085,3.926999866962433,7
proj,16,predequant_gemm,eviction_attempt,8.191999979317188,8.056380919047765,5.760000087320805,8.191999979317188,21
proj,16,fused_int4,warm,14.534000307321548,14.585714521152633,14.50200006365776,14.832000248134136,7
proj,16,fused_int4,eviction_attempt,18.432000651955605,18.72914346555869,18.432000651955605,24.191999807953835,21
proj,64,bf16,warm,4.916999954730272,5.007428582757711,4.8420000821352005,5.458000116050243,7
proj,64,bf16,eviction_attempt,10.239999741315842,9.459809355792546,8.191999979317188,10.239999741315842,21
proj,64,native_int4,warm,8.058999665081501,8.239285820829016,7.701999973505735,9.593999944627285,7
proj,64,native_int4,eviction_attempt,14.336000196635723,13.440000292445932,11.90400030463934,14.336000196635723,21
proj,64,packed_int4,warm,6.577999796718359,6.7835714268897265,6.564999930560589,7.852000184357166,7
proj,64,packed_int4,eviction_attempt,12.256000190973282,11.405714432753268,10.208000428974628,12.28800043463707,21
proj,64,dequant_only,warm,2.061000093817711,2.119857119396329,1.8029999919235706,2.686999971047044,7
proj,64,dequant_only,eviction_attempt,6.144000217318535,5.270857230893204,4.095999989658594,6.144000217318535,21
proj,64,predequant_gemm,warm,4.801000002771616,4.877857132149594,4.749999847263098,5.379000212997198,7
proj,64,predequant_gemm,eviction_attempt,8.191999979317188,8.856380846173991,7.807999849319458,10.239999741315842,21
proj,64,fused_int4,warm,14.190999791026115,14.241285755165986,14.101999811828136,14.529000036418438,7
proj,64,fused_int4,eviction_attempt,18.432000651955605,18.432000651955605,18.432000651955605,18.432000651955605,21
proj,325,bf16,warm,5.561999976634979,5.609571401562009,5.253000184893608,6.184000056236982,7
proj,325,bf16,eviction_attempt,10.239999741315842,10.337523583854948,10.239999741315842,12.28800043463707,21
proj,325,native_int4,warm,22.89300039410591,23.107143118977547,22.847000509500504,24.40599910914898,7
proj,325,native_int4,eviction_attempt,28.672000393271446,29.060571587511472,28.64000014960766,30.719999223947525,21
proj,325,packed_int4,warm,7.246000226587057,7.383142864065511,6.934000179171562,8.414999581873417,7
proj,325,packed_int4,eviction_attempt,15.359999611973763,15.337142915952773,14.303999952971935,16.383999958634377,21
proj,325,dequant_only,warm,2.0810000132769346,2.1752857137471437,2.0540000405162573,2.6910000015050173,7
proj,325,dequant_only,eviction_attempt,6.144000217318535,5.805714432859705,4.095999989658594,7.168000098317862,21
proj,325,predequant_gemm,warm,5.5229999125003815,5.626142756747348,5.4779998026788235,6.252999883145094,7
proj,325,predequant_gemm,eviction_attempt,12.28800043463707,13.261714595414343,12.28800043463707,14.336000196635723,21
