layer,M,N,K,kind,regime,repeat,us,calls_per_event
qkv,64,2304,768,bf16,eviction_attempt,16,12.28800043463707,1
qkv,64,2304,768,fused_int4,eviction_attempt,16,18.432000651955605,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,17,14.336000196635723,1
qkv,64,2304,768,packed_int4,eviction_attempt,17,16.383999958634377,1
qkv,64,2304,768,fused_int4,eviction_attempt,17,18.432000651955605,1
qkv,64,2304,768,bf16,eviction_attempt,17,12.28800043463707,1
qkv,64,2304,768,native_int4,eviction_attempt,17,20.479999482631683,1
qkv,64,2304,768,dequant_only,eviction_attempt,17,6.144000217318535,1
qkv,64,2304,768,packed_int4,eviction_attempt,18,14.336000196635723,1
qkv,64,2304,768,fused_int4,eviction_attempt,18,18.432000651955605,1
qkv,64,2304,768,bf16,eviction_attempt,18,12.28800043463707,1
qkv,64,2304,768,dequant_only,eviction_attempt,18,6.144000217318535,1
qkv,64,2304,768,native_int4,eviction_attempt,18,20.479999482631683,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,18,14.336000196635723,1
qkv,64,2304,768,bf16,eviction_attempt,19,12.28800043463707,1
qkv,64,2304,768,dequant_only,eviction_attempt,19,6.175999995321035,1
qkv,64,2304,768,native_int4,eviction_attempt,19,20.479999482631683,1
qkv,64,2304,768,packed_int4,eviction_attempt,19,14.336000196635723,1
qkv,64,2304,768,fused_int4,eviction_attempt,19,18.432000651955605,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,19,14.336000196635723,1
qkv,64,2304,768,dequant_only,eviction_attempt,20,6.175999995321035,1
qkv,64,2304,768,packed_int4,eviction_attempt,20,14.336000196635723,1
qkv,64,2304,768,predequant_gemm,eviction_attempt,20,12.28800043463707,1
qkv,64,2304,768,fused_int4,eviction_attempt,20,18.432000651955605,1
qkv,64,2304,768,bf16,eviction_attempt,20,12.28800043463707,1
qkv,64,2304,768,native_int4,eviction_attempt,20,18.432000651955605,1
